Channels Energies Detected_Value
276 827.16 0.00
277 830.35 0.00
278 833.55 0.00
279 836.75 0.00
280 839.94 0.00
281 843.14 0.00
282 846.34 0.00
283 849.54 0.00
284 852.73 0.00
285 855.93 0.00
286 859.13 0.00
287 862.32 0.00
288 865.52 0.00
289 868.72 0.00
290 871.91 0.00
291 875.11 0.00
292 878.31 0.00
293 881.50 0.00
294 884.70 0.00
295 887.90 0.00
296 891.10 0.00
297 894.29 0.00
298 897.49 0.00
299 900.69 0.00
300 903.88 0.00
301 907.08 0.00
302 910.28 0.00
303 913.47 0.00
304 916.67 0.00
305 919.87 0.00
306 923.06 0.00
307 926.26 0.00
308 929.46 0.00
309 932.65 0.00
310 935.85 0.00
311 939.05 0.00
312 942.25 0.00
313 945.44 0.00
314 948.64 0.00
315 951.84 0.00
316 955.03 0.00
317 958.23 0.00
318 961.43 0.00
319 964.62 0.00
320 967.82 0.00
321 971.02 0.00
322 974.21 0.00
323 977.41 0.00
324 980.61 0.00
325 983.81 0.00
326 987.00 0.00
327 990.20 0.00
328 993.40 0.00
329 996.59 0.00
330 999.79 0.00
331 1002.99 0.00
332 1006.18 0.00
333 1009.38 0.00
334 1012.58 0.00
335 1015.77 0.00
336 1018.97 0.00
337 1022.17 0.00
338 1025.36 0.00
339 1028.56 0.00
340 1031.76 0.00
341 1034.96 0.00
342 1038.15 0.00
343 1041.35 0.00
344 1044.55 0.00
345 1047.74 0.00
346 1050.94 0.00
347 1054.14 0.00
348 1057.33 0.00
349 1060.53 0.00
350 1063.73 0.00
351 1066.92 0.00
352 1070.12 0.00
353 1073.32 0.00
354 1076.52 0.00
355 1079.71 0.00
356 1082.91 0.00
357 1086.11 0.00
358 1089.30 0.00
359 1092.50 0.00
360 1095.70 0.00
361 1098.89 0.00
362 1102.09 0.00
363 1105.29 0.00
364 1108.48 0.00
365 1111.68 0.00
366 1114.88 0.00
367 1118.08 0.00
368 1121.27 0.00
369 1124.47 0.00
370 1127.67 0.00
371 1130.86 0.00
372 1134.06 0.00
373 1137.26 0.00
374 1140.45 0.00
375 1143.65 0.00
376 1146.85 0.00
377 1150.04 0.00
378 1153.24 0.00
379 1156.44 0.00
380 1159.63 0.00
381 1162.83 0.00
382 1166.03 0.00
383 1169.23 0.00
384 1172.42 0.00
385 1175.62 0.00
386 1178.82 0.00
387 1182.01 0.00
388 1185.21 0.00
389 1188.41 0.00
390 1191.60 0.00
391 1194.80 0.00
392 1198.00 0.00
393 1201.19 0.00
394 1204.39 0.00
395 1207.59 0.00
396 1210.79 0.00
397 1213.98 0.00
398 1217.18 0.00
399 1220.38 0.00
400 1223.57 0.00
